,alert_key,cust_id,risk_rank,occupation_code,total_asset,AGE,probability
0,352249,82595ac69158ae08d34156784bdec0d9e2ca5b242b6d2a8542c040b98feb8bd1,1,19.0,1465816.0,7,0.098923225
1,352253,b212d14cb35676926682b2cf849e295d948888f556c07e854c4cdad9f32f5084,1,2.0,98177.0,2,0.34425977
2,352254,e5b0002791c7852644a2730abeaa893cdf14a072ef78120275815edbd596cec0,1,19.0,2052922.0,7,0.177931847
3,352280,74214c478dc6519fbefe4bc31693865bdcd698ab974b6435bb8fa842a3ed4fd8,3,15.0,201906.0,5,0.784827797
4,352282,0340e7611f0d82c3cb87e6194fa14bb2ccf8afbf1b341860b7e09990369f6466,1,12.0,7450.0,5,0.949315716
5,352291,83440058abcf5206ec03fd81ee3c0c943a33d1ab455a4631d1c52c80b2b3ad1d,1,17.0,182242.0,5,0.34972161
6,352298,fe0b3b09a3b8c5435d55a286ecd4fb416e96d3231abdf27c975bf8606a0b559c,3,12.0,2422.0,4,0.42761387
7,352301,2bd91e5810e781477888dc1d478fe7eaed138acc84bd5e693ad0c5f5be4c6e4b,1,19.0,2536600.0,4,0.804640782
8,352302,9df84862272aa8b1d36b2c9574aedf16b03c1737e136b923095c373bcce2328d,1,17.0,173255.0,4,0.886340183
9,352305,870252ba9d2d6cb4433ce4718b80b2e69cf73adcc7e92657e8383e2f281cc13c,3,12.0,876408.0,3,0.782043226
10,352307,35efdb7f15d0e61d8eabda0871c91edd5602b7620852e286646589bf05fe08de,1,12.0,552065.0,3,0.341287318
11,352309,8a8a3d19fbce6501b156018ffcf902470d07070bc55f69a3bd0c4c76be6b670a,1,9.0,4826766.0,3,0.61440716
12,352312,a6fc8326d711987f071572d976c0bc8b591eecf1c4e759242d05f5a130b5fd75,1,19.0,30480.0,4,0.470513625
13,352316,7dc5256ef411c745dc3064da2f231c104ca270f564d3d0d057943f0cdd62ab70,1,9.0,332834.0,2,0.81448263
14,352320,3513b38b20fd02573807e4a414ed7341e3bd0844fc525d5294adae63e5c61af2,3,19.0,567379.0,3,0.798126732
15,352329,b85d0a2e03dd24bee012fee7df3e88476b6ed3aadfde1a73618551723813d18a,1,17.0,20632.0,2,0.230687217
16,352330,96d70b798f211393cfbcb83a8acd19f3e8c9c5c205960a3a00bfe685ed6e7ab2,1,19.0,143930.0,4,0.435024316
17,352331,4d518f1d8149b57c5d56855d1bac3c0462f4f090a7b4b6fb7951afdf5816c921,1,5.0,729497.0,2,0.96088679
18,352332,8cc21d9d4e328562fb96d10b2d698714c95a48662b379d8aad7ba5290d71a5a0,1,12.0,296610.0,3,0.672480155
19,352337,ff483c74ef2977bfcf04be0a79363af72d1812aac9ce1fcdf671b4433218f6ad,2,17.0,41066.0,3,0.418644928
20,352342,7629f010080267f680a4ca9c6cac71c4d4d86933dcc7ed2f3625fde2c161e9de,1,17.0,506366.0,3,0.517006367
21,352343,51d9f1c083dfbba0c459d86f1aa8a2ae6c83f42e9b2a7a44955999a373160b23,1,12.0,106656.0,3,0.117121682
22,352344,33ff49ea8a07c6d1b7cc203dcc3638ebde62dfb960a1697c8e5a55dffefc1cb6,1,9.0,367478.0,3,0.892195652
23,352465,10a082d613a789acd3abc2648c84585e92e93d7fa20591c50a33899a9c03fe61,3,15.0,226357.0,5,0.604757732
24,352470,d253f77ce816406296362e15aa64888080acc551e9c596098d9c78ffe52956a9,3,19.0,1889815.0,4,0.918836963
25,352472,26fc4ef92d434a5ff617236ded40fa5725432dc446efcc7915dd274606d2d856,1,19.0,18073.0,4,0.213089925
26,352476,d6d7cc8f5036ae0121dbeacf67b216f757b2ab86fb93184eec6f8261c092270a,1,9.0,4197550.0,4,0.513964428
27,352480,ac8a804f8a4be16875f59b941a5cca38a6a92313538c82898fab347db054e286,1,17.0,7658.0,4,0.573623847
28,352484,d1f77182e056ec6c8f8694cfd71da81f378aa50d1976c0c15552665df04af222,1,13.0,0.0,3,0.46204576
29,352487,605be1af0245f872d8adc5b5e23cafb27a4de11247dd07d90ea0b79f1da191de,1,18.0,58111.0,3,0.152215251
30,352488,c1fd75c8241202e9fbe747d44851dd5ba082b5e368b1b3b5f62a13f96e460b27,3,19.0,1415448.0,3,0.72752848
31,352492,a62d70911e788d5fe609d2a7bb3ab800cb3c1ab4e923658fe066a9b3f225410a,3,1.0,2169802.0,2,0.323149131
32,352493,3182ab9ecb0e19b96a0a68723490c01cc46dbc1e8d8a31801c9a010b436eee89,1,12.0,324044.0,3,0.882001205
33,352494,2dc131115c513102b4c5c2facb90e9e21bf6e1bb946cfc0f8e7eca0573654742,1,17.0,3029925.0,4,0.795708938
34,352495,102e3ba50d2b335b71e881df9ef5fea70124a240e8b15c5a4c5c3eabac4605d1,3,14.0,927014.0,4,0.986962055
35,352497,54120a833a4e411f5e15fd3fbdf32e9cd66e000cd6f5ba24bc910ce5e3d46275,1,18.0,718481.0,3,0.250186391
36,352501,7844d12452c6319c9a1d6cee9d4c173d4a2b151a5c632c15b73196b84be493c9,1,3.0,96316.0,3,0.730830431
37,352503,158f652568e23e7e4a8e1c7cbf8c8987d53f23049a1e076f0dc30a993e979382,1,13.0,1666968.0,3,0.447895244
38,352507,9902a46bcfe42b58e06b209a02d1131e47966a60187f787892eaf38116f70c8b,1,18.0,161909.0,3,0.668468886
39,352508,63e2e1fa88378fa90d85547fe108eeee5045ba3252911f145a351b7b7661e3ea,1,12.0,59830.0,3,0.946265169
40,352520,d11b9cd483cf1fe9d2c26de44af17d86707e1b9159c2b2a5235ef01aa8aa9376,1,5.0,6166.0,2,0.854250267
41,352522,bfdb5c0d7da77d3c0d065559d0af7aada44bf33a176681fc19a12fbaa3507f0b,1,12.0,41872.0,2,0.979922789
42,352557,405115a569295213328a887110c5c5b705069402361a3057ba68f7159c097861,3,19.0,187325.0,6,0.687489314
